Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1763849237,970811,888342,28,1
1,NewOrder,1763849237,970928,792374,8,1
2,Payment,1763849237,970946,822895,39,1
2,Payment,1763849237,990046,1042724,47,1
4,Delivery,1763849237,996117,754414,21,1
2,Payment,1763849238,007553,1018914,44,1
1,NewOrder,1763849238,007608,914281,30,1
2,Payment,1763849238,009101,992142,9,1
2,Payment,1763849238,019403,909144,36,1
4,Delivery,1763849238,023854,605052,11,1
2,Payment,1763849238,069101,1578105,18,1
2,Payment,1763849238,108367,1163671,45,1
2,Payment,1763849238,122546,1980971,17,1
2,Payment,1763849238,175214,873921,37,1
5,StockLevel,1763849238,243312,601825,6,1
2,Payment,1763849238,251547,774901,3,1
1,NewOrder,1763849238,260535,1638286,27,1
5,StockLevel,1763849238,286640,592483,31,1
1,NewOrder,1763849238,351337,1534998,24,1
3,OrderStatus,1763849238,360873,200163,49,1
2,Payment,1763849238,391770,694195,5,1
2,Payment,1763849238,551641,2699536,25,1
2,Payment,1763849238,561112,868096,49,1
1,NewOrder,1763849238,588949,2907292,46,1
1,NewOrder,1763849238,618295,764327,42,1
1,NewOrder,1763849238,628969,660411,11,1
2,Payment,1763849238,638064,641985,38,1
5,StockLevel,1763849238,664153,593057,41,1
1,NewOrder,1763849238,678348,923229,26,1
2,Payment,1763849238,681362,1183826,14,1
2,Payment,1763849238,686997,826851,35,1
2,Payment,1763849238,705372,627112,1,1
2,Payment,1763849238,726879,939551,40,1
4,Delivery,1763849238,751051,267001,21,1
4,Delivery,1763849238,763364,2732661,8,1
1,NewOrder,1763849238,765142,921876,10,1
1,NewOrder,1763849238,778867,3119877,0,1
3,OrderStatus,1763849238,781000,93980,4,1
2,Payment,1763849238,781507,2715258,15,1
1,NewOrder,1763849238,789140,876743,32,1
2,Payment,1763849238,793903,894268,39,1
1,NewOrder,1763849238,831280,639869,7,1
3,OrderStatus,1763849238,845198,56360,6,1
1,NewOrder,1763849238,859218,2963647,28,1
4,Delivery,1763849238,873533,2724790,48,1
1,NewOrder,1763849238,874589,824206,33,1
2,Payment,1763849238,875047,3125023,4,1
2,Payment,1763849238,878687,909503,43,1
1,NewOrder,1763849238,879158,927986,31,1
2,Payment,1763849238,890990,2604271,12,1
3,OrderStatus,1763849238,893532,89477,2,1
3,OrderStatus,1763849238,901636,79753,6,1
5,StockLevel,1763849238,904488,684613,19,1
2,Payment,1763849238,907427,2654538,22,1
2,Payment,1763849238,921942,2575090,30,1
2,Payment,1763849238,928624,887390,36,1
1,NewOrder,1763849238,965755,2814152,13,1
2,Payment,1763849238,981620,671358,6,1
2,Payment,1763849238,983059,3122987,2,1
2,Payment,1763849239,001299,763393,9,1
1,NewOrder,1763849239,018111,1656029,21,1
4,Delivery,1763849239,026501,2472572,3,1
2,Payment,1763849239,026516,1213438,44,1
5,StockLevel,1763849239,032827,2366837,47,1
1,NewOrder,1763849239,049191,2557886,37,1
2,Payment,1763849239,056155,2616452,34,1
2,Payment,1763849239,086019,812747,5,1
2,Payment,1763849239,257304,2298100,41,1
1,NewOrder,1763849239,272099,2526116,45,1
1,NewOrder,1763849239,280114,2362698,38,1
1,NewOrder,1763849239,289233,704712,20,1
1,NewOrder,1763849239,289427,2516978,11,1
2,Payment,1763849239,332544,3157959,1,1
4,Delivery,1763849239,334154,2708734,29,1
2,Payment,1763849239,382686,2285409,42,1
4,Delivery,1763849239,406908,2085283,16,1
3,OrderStatus,1763849239,429303,81653,49,1
1,NewOrder,1763849239,471238,2378948,7,1
1,NewOrder,1763849239,511014,381968,49,1
5,StockLevel,1763849239,513896,2018965,35,1
1,NewOrder,1763849239,518063,2487246,23,1
4,Delivery,1763849239,589160,3252339,19,1
2,Payment,1763849239,601638,2348814,26,1
2,Payment,1763849239,647266,1982350,18,1
5,StockLevel,1763849239,653038,1850189,6,1
2,Payment,1763849239,665930,2154786,32,1
1,NewOrder,1763849239,666466,2357597,40,1
2,Payment,1763849239,687159,2253435,10,1
3,OrderStatus,1763849239,688222,100591,39,1
1,NewOrder,1763849239,698855,2404660,33,1
1,NewOrder,1763849239,764774,1985349,9,1
1,NewOrder,1763849239,788245,2140350,43,1
1,NewOrder,1763849239,788864,1884067,39,1
1,NewOrder,1763849239,807213,2372875,31,1
1,NewOrder,1763849239,816067,1835404,36,1
2,Payment,1763849239,865248,2214948,14,1
1,NewOrder,1763849239,886395,2055381,24,1
1,NewOrder,1763849239,893044,1742033,49,1
2,Payment,1763849239,898826,2045084,5,1
2,Payment,1763849239,898866,2148143,27,1
2,Payment,1763849239,994012,2090836,20,1
1,NewOrder,1763849240,103658,1881689,17,1
1,NewOrder,1763849240,240010,1700642,44,1
4,Delivery,1763849240,674207,1115706,21,1
2,Payment,1763849241,251255,898794,25,1
2,Payment,1763849241,399747,539990,47,1
2,Payment,1763849241,492298,2772093,16,1
1,NewOrder,1763849241,495339,2506680,12,1
2,Payment,1763849241,496081,682076,8,1
2,Payment,1763849241,496286,527972,46,1
1,NewOrder,1763849241,496824,2503658,15,1
1,NewOrder,1763849241,497285,586764,30,1
2,Payment,1763849241,499153,1497803,3,1
1,NewOrder,1763849241,503317,2707926,6,1
1,NewOrder,1763849241,532941,434217,35,1
2,Payment,1763849241,555784,575668,41,1
1,NewOrder,1763849241,562082,2028512,22,1
2,Payment,1763849241,598372,514443,48,1
1,NewOrder,1763849241,607132,410315,37,1
2,Payment,1763849241,629676,2956258,18,1
1,NewOrder,1763849241,635190,2798600,49,1
2,Payment,1763849241,642951,516855,38,1
2,Payment,1763849241,651519,581108,36,1
1,NewOrder,1763849241,668158,2333944,42,1
2,Payment,1763849241,672652,926889,34,1
1,NewOrder,1763849241,672970,2562428,39,1
5,StockLevel,1763849241,750182,437667,9,1
1,NewOrder,1763849241,780004,888233,13,1
1,NewOrder,1763849241,789983,1527654,21,1
2,Payment,1763849241,798271,2975544,45,1
2,Payment,1763849241,806459,2489929,11,1
2,Payment,1763849241,820793,1449093,32,1
1,NewOrder,1763849241,822917,1550598,28,1
2,Payment,1763849241,850242,2735812,7,1
1,NewOrder,1763849241,898797,2336547,0,1
1,NewOrder,1763849241,928660,2166535,43,1
1,NewOrder,1763849241,939796,1974275,47,1
3,OrderStatus,1763849241,940635,104256,10,1
2,Payment,1763849241,940696,2645892,44,1
2,Payment,1763849241,941819,2584769,24,1
2,Payment,1763849241,943995,2848122,5,1
2,Payment,1763849241,950509,2206885,26,1
1,NewOrder,1763849241,967214,1836716,35,1
2,Payment,1763849241,985453,2752556,17,1
1,NewOrder,1763849242,000127,2780798,4,1
2,Payment,1763849242,005363,2760398,23,1
1,NewOrder,1763849242,017521,1360318,37,1
2,Payment,1763849242,024124,2714415,40,1
2,Payment,1763849242,024312,2868233,46,1
2,Payment,1763849242,042948,2544180,29,1
1,NewOrder,1763849242,044941,1986558,10,1
1,NewOrder,1763849242,047069,1652811,27,1
2,Payment,1763849242,080257,2383520,14,1
2,Payment,1763849242,084109,2070206,30,1
1,NewOrder,1763849242,084885,3016371,20,1
2,Payment,1763849242,103740,2482241,33,1
2,Payment,1763849242,106097,2802730,2,1
1,NewOrder,1763849242,112872,3272832,48,1
1,NewOrder,1763849242,131529,2983120,41,1
1,NewOrder,1763849242,150105,2887653,25,1
2,Payment,1763849242,159869,2300804,38,1
1,NewOrder,1763849242,178224,3067250,8,1
2,Payment,1763849242,180191,2599187,31,1
1,NewOrder,1763849242,187913,2954288,9,1
2,Payment,1763849242,232683,2406914,36,1
2,Payment,1763849242,490979,2541325,1,1
3,OrderStatus,1763849242,599716,520254,34,1
1,NewOrder,1763849242,668339,2366095,13,1
1,NewOrder,1763849242,841555,2269683,19,1
2,Payment,1763849242,997014,2117880,3,1
1,NewOrder,1763849243,120056,2177271,34,1
2,Payment,1763849243,269940,2114954,32,1
2,Payment,1763849243,317691,1853937,21,1
2,Payment,1763849243,373622,1780796,28,1
2,Payment,1763849243,377889,1457897,37,1
2,Payment,1763849243,590671,1767347,22,1
3,OrderStatus,1763849243,699949,390401,27,1
2,Payment,1763849243,803999,1157655,35,1
3,OrderStatus,1763849243,914137,270860,47,1
1,NewOrder,1763849244,000615,1114060,15,1
2,Payment,1763849244,002092,1191842,12,1
4,Delivery,1763849244,002282,1104549,42,1
1,NewOrder,1763849244,031619,1060332,10,1
1,NewOrder,1763849244,090419,984238,27,1
2,Payment,1763849244,095272,1098787,43,1
1,NewOrder,1763849244,154381,1111460,30,1
1,NewOrder,1763849244,157460,718053,26,1
2,Payment,1763849244,185054,1369570,47,1
2,Payment,1763849244,211321,1483648,6,1
3,OrderStatus,1763849244,235427,438762,0,1
1,NewOrder,1763849244,235474,1133024,39,1
2,Payment,1763849244,264468,911564,16,1
1,NewOrder,1763849244,296469,652793,11,1
1,NewOrder,1763849244,433873,1015518,49,1
2,Payment,1763849244,460742,1036179,38,1
1,NewOrder,1763849244,464249,1027455,14,1
2,Payment,1763849244,526671,943761,24,1
2,Payment,1763849244,586005,719425,18,1
2,Payment,1763849244,586037,946022,33,1
1,NewOrder,1763849244,586094,962740,7,1
2,Payment,1763849244,586631,743629,44,1
2,Payment,1763849244,587172,632386,29,1
1,NewOrder,1763849244,639767,704670,36,1
1,NewOrder,1763849244,674251,853016,0,1
1,NewOrder,1763849244,738472,943319,17,1
1,NewOrder,1763849244,738736,886358,40,1
1,NewOrder,1763849244,765822,989754,23,1
2,Payment,1763849244,773873,933422,45,1
1,NewOrder,1763849244,779430,1021002,31,1
1,NewOrder,1763849244,780977,556355,4,1
1,NewOrder,1763849244,792177,1254022,5,1
1,NewOrder,1763849244,835847,477609,37,1
2,Payment,1763849244,876171,447667,26,1
3,OrderStatus,1763849244,892646,86651,46,1
1,NewOrder,1763849244,908882,611426,2,1
1,NewOrder,1763849244,949310,561940,11,1
1,NewOrder,1763849244,961711,758027,35,1
2,Payment,1763849244,979349,818949,46,1
1,NewOrder,1763849245,032354,451274,1,1
1,NewOrder,1763849245,034489,721001,13,1
1,NewOrder,1763849245,037816,629781,25,1
2,Payment,1763849245,074715,688892,27,1
1,NewOrder,1763849245,092006,664115,10,1
1,NewOrder,1763849245,101315,697771,20,1
2,Payment,1763849245,106885,729032,42,1
2,Payment,1763849245,111290,745671,19,1
4,Delivery,1763849245,114704,222629,41,1
1,NewOrder,1763849245,114932,412457,3,1
1,NewOrder,1763849245,115035,547980,15,1
1,NewOrder,1763849245,142276,839692,9,1
2,Payment,1763849245,154465,677420,28,1
2,Payment,1763849245,171685,695368,21,1
1,NewOrder,1763849245,176078,579800,16,1
2,Payment,1763849245,193992,624964,12,1
1,NewOrder,1763849245,194095,561862,43,1
1,NewOrder,1763849245,219751,434136,29,1
2,Payment,1763849245,245755,871786,8,1
1,NewOrder,1763849245,265900,524712,30,1
1,NewOrder,1763849245,297385,1185695,34,1
1,NewOrder,1763849245,305489,948538,18,1
1,NewOrder,1763849245,313510,486638,37,1
2,Payment,1763849245,323886,620959,26,1
1,NewOrder,1763849245,330319,777282,44,1
1,NewOrder,1763849245,337518,368652,4,1
3,OrderStatus,1763849245,338352,106379,41,1
1,NewOrder,1763849245,344559,519783,36,1
2,Payment,1763849245,358115,604190,22,1
2,Payment,1763849245,368793,587779,39,1
2,Payment,1763849245,384944,1152896,32,1
1,NewOrder,1763849245,385740,688063,48,1
1,NewOrder,1763849245,444773,789533,41,1
3,OrderStatus,1763849245,449433,67421,49,1
2,Payment,1763849245,470471,584492,24,1
1,NewOrder,1763849245,483676,447988,1,1
4,Delivery,1763849245,491752,874499,14,1
4,Delivery,1763849245,496968,668881,38,1
1,NewOrder,1763849245,511298,1473499,11,1
1,NewOrder,1763849245,516894,555320,49,1
2,Payment,1763849245,520349,495197,2,1
1,NewOrder,1763849245,527309,863190,0,1
1,NewOrder,1763849245,527426,982792,3,1
2,Payment,1763849245,532106,1253846,33,1
2,Payment,1763849245,548881,650353,7,1
2,Payment,1763849245,554675,644550,47,1
2,Payment,1763849245,625145,744177,40,1
1,NewOrder,1763849245,653930,736764,29,1
1,NewOrder,1763849245,663058,1178677,15,1
1,NewOrder,1763849245,667639,627839,25,1
1,NewOrder,1763849245,681835,645684,17,1
1,NewOrder,1763849245,695013,1195229,6,1
1,NewOrder,1763849245,706216,770104,4,1
1,NewOrder,1763849245,707338,403925,45,1
2,Payment,1763849245,719781,353993,35,1
2,Payment,1763849245,755527,1427531,13,1
1,NewOrder,1763849245,755612,696523,23,1
1,NewOrder,1763849245,755912,563412,16,1
1,NewOrder,1763849245,755980,484564,43,1
2,Payment,1763849245,756139,1319343,10,1
1,NewOrder,1763849245,763655,663638,27,1
1,NewOrder,1763849245,790659,1249888,30,1
1,NewOrder,1763849245,798350,672882,46,1
4,Delivery,1763849245,799125,275488,20,1
2,Payment,1763849245,800182,339880,37,1
1,NewOrder,1763849245,800465,1223987,31,1
2,Payment,1763849245,819009,1557951,12,1
2,Payment,1763849245,831925,1002809,28,1
2,Payment,1763849245,836023,618453,42,1
1,NewOrder,1763849245,857000,289517,19,1
2,Payment,1763849245,864390,369029,36,1
4,Delivery,1763849245,867094,537905,21,1
1,NewOrder,1763849245,931710,449171,1,1
2,Payment,1763849245,944883,1017114,26,1
2,Payment,1763849245,956615,412510,39,1
2,Payment,1763849245,962451,880181,22,1
3,OrderStatus,1763849245,982576,53732,9,1
1,NewOrder,1763849246,015613,338493,2,1
1,NewOrder,1763849246,036346,805726,9,1
2,Payment,1763849246,046230,934168,5,1
1,NewOrder,1763849246,054991,1234362,24,1
2,Payment,1763849246,072249,812514,49,1
2,Payment,1763849246,073803,367243,35,1
2,Payment,1763849246,073822,884608,48,1
2,Payment,1763849246,074633,1415669,20,1
3,OrderStatus,1763849246,107636,48238,44,1
2,Payment,1763849246,111296,953187,45,1
2,Payment,1763849246,117614,1017086,8,1
2,Payment,1763849246,140090,360778,37,1
