Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
75,97,97,000,32507,397223,556323,568883,665856,936515,1240481,1662232,1662232
76,78,78,000,43720,472908,625175,640086,733606,1028650,1204750,1415142,1415142
77,74,74,000,135722,529111,850401,1195376,1894915,2522689,2672833,2851065,2851065
78,25,25,000,167836,1825676,2127166,2011676,2317840,2430171,2473347,2509511,2509511
79,12,12,000,805052,1055723,1198869,1283422,1557453,1779243,2039384,2039384,2039384
80,72,72,000,49437,403307,563336,554758,694757,852182,922418,1092037,1092037
81,92,92,000,45195,485123,652637,685872,789523,1148013,1409657,1883904,1883904
82,53,53,000,37988,931662,1173109,1070988,1316524,1448676,1544541,1695339,1695339
83,50,50,000,234272,405271,593330,587171,662830,1028583,1061348,1142299,1142299
84,98,98,000,38340,395908,539412,526311,688226,812248,877678,966191,966191
85,94,94,000,20436,357864,504797,527900,652925,805149,869907,1974959,1974959
86,63,63,000,96400,714043,1815372,2787548,3944248,6769193,9442922,9692106,9692106
87,19,19,000,490388,3072380,8216777,6288467,8497920,9099262,9242109,9242109,9242109
88,9,9,000,3586726,4994414,7527606,6655228,8001750,8172504,8172504,8172504,8172504
89,8,8,000,6465603,6802974,7031498,6999501,7285601,7717865,7717865,7717865,7717865
90,7,7,000,787552,1805337,5663349,4474958,5833112,5876012,5876012,5876012,5876012
91,4,4,000,4494900,4829873,5055026,4945134,5400737,5400737,5400737,5400737,5400737
92,7,7,000,3366875,3727230,3942667,3847093,4002549,4110861,4110861,4110861,4110861
93,3,3,000,2313525,2313525,2971915,2757746,2987798,2987798,2987798,2987798,2987798
94,0,0,000,-1,-1,-1,-1,-1,-1,-1,-1,-1
95,5,5,000,96273,879144,1084032,996102,1085725,1835336,1835336,1835336,1835336
96,68,68,000,118285,649702,814410,834179,1080850,1185915,1220275,1347123,1347123
97,71,71,000,47826,404641,646266,639129,804088,1038132,1219981,1368048,1368048
98,85,85,000,58513,389975,524897,524054,624757,797884,850537,1208142,1208142
99,87,87,000,58735,476341,1028503,1200441,1849524,2530158,2665352,3068150,3068150
100,17,17,000,795288,1490859,1825715,1819181,2169617,2508543,2590966,2590966,2590966
101,24,24,000,167128,1183802,1658812,1586474,2067849,2535794,2714999,3009902,3009902
102,40,40,000,132151,1560509,1764184,1660914,1874747,1984857,2098829,2330192,2330192
103,14,14,000,272799,676531,819979,874519,1205993,1238509,1420501,1420501,1420501
104,103,103,000,56737,396793,505465,525218,628427,775133,915084,1011792,1056415
105,72,72,000,52025,622399,731531,741953,902449,981916,1074475,1599500,1599500
106,72,72,000,56946,505681,634720,620024,748680,826433,989182,1260123,1260123
107,84,84,000,40796,382284,615457,620745,779173,1030050,1213170,1922939,1922939
108,63,63,000,40829,534625,830375,804448,1001244,1396301,1451865,1963637,1963637
109,67,67,000,38408,521552,705466,683383,870237,1016248,1029228,1289750,1289750
110,86,86,000,53051,456930,558453,606729,683272,940060,1068790,1766750,1766750
111,89,89,000,25217,398271,661922,921851,1406137,1939839,2249838,3190185,3190185
112,28,28,000,83266,1580047,1777112,1700234,2059832,2321261,2373786,2443013,2443013
113,22,22,000,337820,1030410,1286865,1286041,1567442,1767250,1890542,2041560,2041560
114,62,62,000,57153,439019,637391,669384,871876,1026821,1156671,2393621,2393621
115,80,80,000,20908,440711,698094,969461,1270026,2185591,3043951,3670362,3670362
116,8,8,000,1596970,2033968,2220987,2310921,2987529,3439956,3439956,3439956,3439956
117,0,0,000,-1,-1,-1,-1,-1,-1,-1,-1,-1
118,1,1,000,515568,515568,515568,515568,515568,515568,515568,515568,515568
