Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,42,42,000,4882,11741,25611,24695,36252,47165,52471,57547,57547
1,43,43,000,4071,8978,21663,22623,32843,37320,61084,65728,65728
2,52,52,000,3174,9335,17073,19037,27623,34097,38665,69918,69918
3,60,60,000,3157,8785,10556,16926,28547,31247,34106,39210,39210
4,69,69,000,3144,8187,8886,14155,23852,29627,32466,36313,36313
5,60,60,000,2847,7556,16976,16732,25601,30630,32945,53239,53239
6,66,66,000,3336,7357,10629,15264,22615,27510,28291,52959,52959
7,76,76,000,3089,7158,7971,12961,18664,24856,29024,48297,48297
8,70,70,000,2998,7763,10188,15310,19972,27742,28688,117415,117415
9,51,51,000,1706,7238,15230,18406,24232,34124,49418,77416,77416
10,62,62,000,3009,8746,11179,15804,21193,31015,32904,41134,41134
11,65,65,000,1632,6566,13526,15361,21062,27384,40650,54776,54776
12,67,67,000,2308,6746,8248,14785,21673,28927,42558,52174,52174
13,56,56,000,3694,8353,11756,18234,25256,33681,43844,64050,64050
14,58,58,000,3512,7714,15933,17076,21682,29184,53100,61582,61582
15,55,55,000,2617,7483,14043,17954,24764,46350,51125,53362,53362
16,57,57,000,2469,8425,17289,18049,23536,29410,50162,52585,52585
17,58,58,000,2872,7015,13845,16759,23118,34919,48059,50270,50270
18,63,63,000,1704,7878,14455,15848,22315,26343,31935,51695,51695
19,73,73,000,1765,6875,8580,13865,19501,26239,32706,50954,50954
20,58,58,000,2940,7497,18381,17087,24408,29515,31542,50147,50147
21,59,59,000,5297,8040,17627,17141,20964,30726,36276,46916,46916
22,58,58,000,1773,7805,19658,17426,22469,26162,36022,52258,52258
23,59,59,000,3161,7331,11193,16270,24668,29460,37596,52478,52478
24,71,71,000,2740,7596,9501,14229,20060,25930,28418,60552,60552
25,66,66,000,2182,7165,10790,15312,24869,29280,31803,49344,49344
26,58,58,000,1684,7400,18928,16901,21564,27035,52589,56605,56605
27,68,68,000,1905,7005,10884,14552,21244,27622,28796,54031,54031
28,70,70,000,2657,7009,8305,14538,22256,33164,33898,49979,49979
29,70,70,000,2419,6851,11539,14147,20386,26327,28789,49229,49229
30,73,73,000,1954,6994,8853,13498,18381,24481,30308,58425,58425
31,58,58,000,2746,8077,14261,17290,21549,34549,47936,62101,62101
32,69,69,000,2548,6980,11692,14510,20443,26404,28014,35620,35620
33,74,74,000,1226,6929,8716,13526,19754,25325,31846,52502,52502
34,56,56,000,3505,8260,17627,17860,22258,30044,43535,51318,51318
35,68,68,000,1213,6999,9261,14502,22286,26134,36743,54362,54362
36,66,66,000,1762,7470,9580,15178,21509,27089,32921,52917,52917
37,66,66,000,2953,7088,14596,15207,21555,26729,28107,50590,50590
38,68,68,000,1614,6786,8733,14746,21887,29665,31556,51765,51765
39,68,68,000,2455,7160,9172,14658,24821,29657,32896,33917,33917
40,59,59,000,3000,7372,13185,16893,25678,29243,31276,55799,55799
41,58,58,000,2307,7707,18346,17034,23564,28705,29437,47116,47116
42,63,63,000,1777,7644,11850,15881,24832,27612,30818,51015,51015
43,61,61,000,3267,8143,12651,16385,20667,26139,49096,63726,63726
44,73,73,000,1807,6994,9266,13679,21579,26417,29109,33460,33460
45,77,77,000,2160,6918,8767,13394,17565,25894,28861,59477,59477
46,56,56,000,2596,6801,8921,17169,20150,50030,62801,99045,99045
47,64,64,000,3154,7534,14141,15603,23358,26279,28281,50914,50914
48,69,69,000,1814,7104,8508,14592,21265,28441,32536,54316,54316
49,63,63,000,3024,6911,9803,15783,21588,27061,45512,52479,52479
50,64,64,000,2314,7281,16000,15697,22551,27387,30592,47699,47699
51,63,63,000,2720,7310,9360,15780,21948,28300,39044,54976,54976
52,69,69,000,2467,6784,9352,14354,21298,27381,28860,46714,46714
53,67,67,000,1806,7158,9158,14863,21938,27072,33365,56532,56532
54,56,56,000,1441,7648,14691,17900,25707,33668,51727,64535,64535
55,61,61,000,2503,8251,15847,16285,22089,27021,30837,52979,52979
56,68,68,000,2232,7385,14184,14607,21922,24213,26936,49322,49322
57,64,64,000,2372,6973,11388,15595,22188,27563,32378,57016,57016
58,68,68,000,2438,7199,9684,14877,22371,26957,28011,65553,65553
59,65,65,000,2776,6785,9848,15090,21515,27928,36968,46203,46203
