Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1763837690,391560,115372,4,1
2,Payment,1763837690,394509,124128,2,1
2,Payment,1763837690,407596,126672,7,1
2,Payment,1763837690,456840,90576,1,1
1,NewOrder,1763837690,457769,129755,5,1
1,NewOrder,1763837690,463471,118577,0,1
1,NewOrder,1763837690,466873,110423,6,1
2,Payment,1763837690,475438,122718,3,1
1,NewOrder,1763837690,482830,91894,9,1
5,StockLevel,1763837690,494169,8119,8,1
2,Payment,1763837690,502344,105367,8,1
2,Payment,1763837690,507049,110460,4,1
2,Payment,1763837690,518690,109775,2,1
2,Payment,1763837690,534332,105452,7,1
2,Payment,1763837690,547478,103932,1,1
2,Payment,1763837690,574860,89183,9,1
1,NewOrder,1763837690,577349,117818,6,1
4,Delivery,1763837690,582193,12537,0,1
1,NewOrder,1763837690,587583,123467,5,1
1,NewOrder,1763837690,594787,105967,0,1
4,Delivery,1763837690,598220,31494,3,1
1,NewOrder,1763837690,607760,95918,8,1
2,Payment,1763837690,617573,109807,4,1
2,Payment,1763837690,628525,108439,2,1
2,Payment,1763837690,629758,118675,3,1
1,NewOrder,1763837690,639849,65868,7,1
2,Payment,1763837690,651471,107070,1,1
2,Payment,1763837690,664103,106242,9,1
2,Payment,1763837690,695236,85841,6,1
1,NewOrder,1763837690,700819,134259,0,1
2,Payment,1763837690,703753,156862,8,1
3,OrderStatus,1763837690,705781,6626,7,1
3,OrderStatus,1763837690,711104,5475,5,1
1,NewOrder,1763837690,712501,114045,7,1
1,NewOrder,1763837690,716655,120762,5,1
1,NewOrder,1763837690,727446,111848,4,1
1,NewOrder,1763837690,737042,111385,2,1
2,Payment,1763837690,748487,127058,3,1
2,Payment,1763837690,758639,130123,1,1
1,NewOrder,1763837690,770438,53165,9,1
1,NewOrder,1763837690,781140,142550,6,1
1,NewOrder,1763837690,823655,102953,9,1
1,NewOrder,1763837690,826619,110509,7,1
1,NewOrder,1763837690,835125,105160,0,1
1,NewOrder,1763837690,837472,96489,5,1
2,Payment,1763837690,839346,112189,4,1
1,NewOrder,1763837690,848488,94178,2,1
2,Payment,1763837690,860696,101935,8,1
2,Payment,1763837690,875614,98233,3,1
2,Payment,1763837690,888912,97429,1,1
1,NewOrder,1763837690,923749,127134,6,1
1,NewOrder,1763837690,926665,110487,9,1
5,StockLevel,1763837690,934032,9726,5,1
2,Payment,1763837690,937192,122846,7,1
2,Payment,1763837690,940339,129306,0,1
1,NewOrder,1763837690,942713,97512,2,1
1,NewOrder,1763837690,943803,100780,5,1
1,NewOrder,1763837690,951595,87749,4,1
1,NewOrder,1763837690,962696,69363,8,1
1,NewOrder,1763837690,973935,73241,3,1
2,Payment,1763837690,986404,95062,1,1
1,NewOrder,1763837691,032123,90682,8,1
2,Payment,1763837691,037201,102352,9,1
2,Payment,1763837691,039385,109841,4,1
4,Delivery,1763837691,040280,22883,2,1
1,NewOrder,1763837691,044640,76805,5,1
2,Payment,1763837691,047233,113317,3,1
2,Payment,1763837691,050983,120369,6,1
1,NewOrder,1763837691,060104,59972,7,1
1,NewOrder,1763837691,063222,37612,2,1
5,StockLevel,1763837691,069744,5821,0,1
2,Payment,1763837691,075622,105010,0,1
2,Payment,1763837691,081524,112459,1,1
1,NewOrder,1763837691,100946,133747,2,1
1,NewOrder,1763837691,120155,125537,7,1
4,Delivery,1763837691,121506,53206,5,1
1,NewOrder,1763837691,122877,125931,8,1
1,NewOrder,1763837691,139620,99191,9,1
1,NewOrder,1763837691,149294,105227,4,1
1,NewOrder,1763837691,160846,89943,3,1
1,NewOrder,1763837691,171421,60973,6,1
1,NewOrder,1763837691,174774,78365,5,1
2,Payment,1763837691,180690,86264,0,1
1,NewOrder,1763837691,194104,123423,1,1
2,Payment,1763837691,232442,100109,6,1
2,Payment,1763837691,234745,109184,2,1
