database,test_base,scale,tps_mean,tps_std,tps_count,qps_mean,qps_std,qps_count,lat_avg_mean,lat_avg_std,lat_avg_count,lat_95th_mean,lat_95th_std,lat_95th_count,lat_min_mean,lat_min_std,lat_min_count,lat_max_mean,lat_max_std,lat_max_count,threads
mysql,complex,baixa,145.33599999999998,2.567115112339148,5,2907.846,50.951189191225076,5,341.34,5.5521392273609225,5,697.1560000000001,18.537574814414086,5,33.994,5.304142720553435,5,2826.444,195.56232198457877,5,50
mysql,complex,media,196.68800000000002,0.8452632725961744,5,3933.754,16.942587759843555,5,253.548,1.1500304343798926,5,465.63199999999995,3.72976138646967,5,26.27,3.3339091169376514,5,1261.0059999999999,122.11033097162576,5,50
mysql,complex,alta,139.248,0.38880586415331325,5,2784.9700000000003,7.759391084357137,5,358.014,1.3781980989683604,5,762.688,11.460031413569464,5,23.54,3.3520590686919585,5,2968.4739999999997,270.20435919873694,5,50
mysql,delete,baixa,3717.6279999999997,157.1079853794834,5,3717.6279999999997,157.1079853794834,5,13.446000000000002,0.5422914345626343,5,61.54,1.665037537114404,5,0.11200000000000002,0.01923538406167135,5,847.064,9.141987201916203,5,50
mysql,delete,media,4478.697999999999,11.278072530357099,5,4478.697999999999,11.278072530357099,5,11.156,0.0250998007960215,5,47.992000000000004,0.4765186250294979,5,0.092,0.010954451150103328,5,341.62,8.309362189723105,5,50
mysql,delete,alta,1701.8560000000002,11.690908005796572,5,1701.8560000000002,11.690908005796572,5,29.310000000000002,0.15524174696260043,5,80.32000000000001,0.6484597134749405,5,0.11000000000000001,0.019999999999999997,5,849.51,3.998280880578544,5,50
mysql,read,baixa,227.706,4.073135156117451,5,3643.3059999999996,65.15348824122927,5,218.86399999999998,3.875639302102292,5,541.672,4.387165371854563,5,11.338,1.0140364884953588,5,1235.04,52.47756187171814,5,50
mysql,read,media,323.044,11.27610438050303,5,5168.694,180.36996640239187,5,154.658,5.086061344498323,5,304.452,4.574217965947824,5,11.873999999999999,1.811416572740793,5,789.3100000000001,149.3685852179098,5,50
mysql,read,alta,282.988,2.578346369284008,5,4527.848,41.25686270185831,5,176.30599999999998,1.7129010479300923,5,326.048,7.254837696323745,5,11.706,0.4495887009256351,5,726.268,62.45508682245186,5,50
mysql,update,baixa,1614.648,4.505815131582763,5,1614.648,4.505815131582763,5,30.932,0.08348652585896758,5,55.82000000000001,0.0,5,5.442,0.5318552434638582,5,798.158,102.97827426209864,5,50
mysql,update,media,1640.212,4.56342196164228,5,1640.212,4.56342196164228,5,30.466,0.08324662155306879,5,87.88,0.7155417527999318,5,5.178,0.6463126178560962,5,537.2940000000001,48.186691419934604,5,50
mysql,update,alta,756.1940000000001,7.191583970169552,5,756.1940000000001,7.191583970169552,5,66.026,0.5946679745875022,5,185.232,3.7942944008076145,5,4.668,0.42681377672235465,5,6224.26,638.6385371632375,5,50
mysql,write,baixa,382.588,7.0350600566022115,5,2295.8940000000002,42.225828351851284,5,130.426,2.4239492568946335,5,350.558,14.111958404133695,5,11.459999999999999,0.8938679992034626,5,2381.148,138.09670043125573,5,50
mysql,write,media,492.096,4.610849162572991,5,2952.58,27.66199649338432,5,101.486,0.9840630061129244,5,262.724,7.479216536509697,5,10.086,0.4875243583658154,5,1685.282,434.14700749861225,5,50
mysql,write,alta,317.54200000000003,3.5423466798155245,5,1905.248,21.25078633839233,5,157.188,1.91132676431844,5,403.298,11.98618246148455,5,8.632000000000001,1.5967372983681443,5,4252.718,245.5567070352591,5,50
vitess,complex,baixa,8.89,0.36462309307008983,5,177.76,7.30320819914098,5,5488.526,242.8765956818398,5,9355.645999999999,965.1390211415139,5,2031.502,426.0711603945989,5,18810.0,1135.374736111385,5,50
vitess,complex,media,7.853999999999999,0.269685001436862,5,157.10399999999998,5.360744351300488,5,5887.59,186.5814257904574,5,11004.044,462.0083841555262,5,2607.6459999999997,555.0345466094881,5,13764.596,353.39122036349477,5,50
vitess,complex,alta,11.052000000000001,0.09731392500562339,5,221.01799999999997,1.900991846379153,5,4472.125999999999,46.043459687560535,5,13008.154,984.8299611252695,5,1135.1560000000002,263.42394809508113,5,16315.784,234.0490766484672,5,50
vitess,delete,baixa,265.034,0.602104642068142,5,265.034,0.602104642068142,5,188.244,0.3376092415796734,5,349.08,2.7950849718747333,5,3.4519999999999995,0.2327444951013879,5,1911.194,49.76055496073171,5,50
vitess,delete,media,165.484,0.3898461234897574,5,165.484,0.3898461234897574,5,300.906,0.7403242532836312,5,667.4979999999999,5.348674602179501,5,5.9719999999999995,0.8472425862762091,5,4351.836,96.50024730538279,5,50
vitess,delete,alta,80.588,4.403966394058891,5,80.588,4.403966394058891,5,617.516,36.920051868869294,5,2796.3,241.4098283003406,5,3.332,0.08526429498916886,5,10155.289999999999,42.78495471541373,5,50
vitess,read,baixa,15.84,0.05830951894845323,5,253.456,0.9402818726318202,5,3100.702,8.951076471575819,5,3883.8660000000004,38.23651173943566,5,1954.648,29.099773538637734,5,4451.7519999999995,81.41557479991164,5,50
vitess,read,media,14.702000000000002,0.06978538528947177,5,235.288,1.1303627736262427,5,3337.432,14.813941744181342,5,4203.93,0.0,5,2192.88,68.6432735233395,5,5005.856,64.51565724690394,5,50
vitess,read,alta,32.21,0.07071067811865345,5,515.368,1.1910163726834213,5,1541.964,2.5990825304326237,5,1924.324,18.94572326410377,5,949.216,115.19061541636106,5,2496.77,56.65673349214557,5,50
vitess,update,baixa,52.565999999999995,1.0673940228425514,5,52.565999999999995,1.0673940228425514,5,938.934,19.282549883249356,5,1917.53,30.69591666655363,5,99.73400000000001,29.357584709917806,5,7052.004000000001,273.4552302114552,5,50
vitess,update,media,49.122,1.165276791153073,5,49.122,1.165276791153073,5,978.2760000000001,27.247038921688358,5,3537.168,72.79937444786175,5,80.066,36.89230719269263,5,8249.032000000001,193.60850606313764,5,50
vitess,update,alta,63.492000000000004,0.6284266066932569,5,63.492000000000004,0.6284266066932569,5,774.0319999999999,7.044683811215353,5,2662.186,93.35925358527668,5,50.912,12.798737047068354,5,21980.48,150.04949799982674,5,50
vitess,write,baixa,14.372,0.7080042372754559,5,86.38199999999999,4.21990165762189,5,3408.156,164.46418829033863,5,14415.256,564.3788004788985,5,375.62399999999997,65.15085440729078,5,32907.646,997.9295340002733,5,50
vitess,write,media,11.66,1.0737085265564401,5,69.95599999999999,6.446869783080785,5,4050.8759999999993,462.84521822095115,5,12346.346000000001,460.7450004395051,5,431.274,90.40178084529083,5,19139.504,1715.2557142391342,5,50
vitess,write,alta,16.644,0.9170223552345936,5,99.85999999999999,5.510163336961981,5,2976.6580000000004,173.66949896282884,5,10090.23,331.8313967966263,5,267.182,44.129573643986184,5,16051.104000000001,4950.0409349751835,5,50
