Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
5,StockLevel,1763695449,622885,6467,0,1
2,Payment,1763695449,629605,14720,0,1
2,Payment,1763695449,644364,9472,0,1
1,NewOrder,1763695449,653884,27082,0,1
5,StockLevel,1763695449,681020,5238,0,1
2,Payment,1763695449,686347,11516,0,1
2,Payment,1763695449,697916,13793,0,1
1,NewOrder,1763695449,711759,47165,0,1
1,NewOrder,1763695449,758973,34174,0,1
1,NewOrder,1763695449,793189,26533,0,1
2,Payment,1763695449,819777,11099,0,1
1,NewOrder,1763695449,830930,25611,0,1
1,NewOrder,1763695449,856592,38080,0,1
2,Payment,1763695449,894728,12204,0,1
2,Payment,1763695449,906987,12596,0,1
1,NewOrder,1763695449,919629,23785,0,1
2,Payment,1763695449,943463,12202,0,1
2,Payment,1763695449,955715,11612,0,1
1,NewOrder,1763695449,967420,53199,0,1
1,NewOrder,1763695450,020668,37578,0,1
2,Payment,1763695450,058310,11321,0,1
2,Payment,1763695450,069681,11741,0,1
2,Payment,1763695450,081470,10639,0,1
1,NewOrder,1763695450,092165,35857,0,1
5,StockLevel,1763695450,128088,4882,0,1
2,Payment,1763695450,133024,12783,0,1
2,Payment,1763695450,145855,12027,0,1
1,NewOrder,1763695450,157928,36252,0,1
1,NewOrder,1763695450,194238,57547,0,1
1,NewOrder,1763695450,251852,52471,0,1
2,Payment,1763695450,304380,11603,0,1
1,NewOrder,1763695450,316039,29741,0,1
1,NewOrder,1763695450,345837,27694,0,1
1,NewOrder,1763695450,373576,31167,0,1
1,NewOrder,1763695450,404796,26528,0,1
1,NewOrder,1763695450,431378,45686,0,1
2,Payment,1763695450,477119,14496,0,1
2,Payment,1763695450,491655,12017,0,1
2,Payment,1763695450,503714,28107,0,1
1,NewOrder,1763695450,531875,47218,0,1
1,NewOrder,1763695450,579135,38031,0,1
1,NewOrder,1763695450,617222,45274,0,1
2,Payment,1763695450,662549,12067,0,1
1,NewOrder,1763695450,674691,32843,0,1
1,NewOrder,1763695450,707593,33597,0,1
2,Payment,1763695450,741244,10746,0,1
1,NewOrder,1763695450,752037,35072,0,1
2,Payment,1763695450,787149,8978,0,1
1,NewOrder,1763695450,796174,27558,0,1
2,Payment,1763695450,823788,9361,0,1
1,NewOrder,1763695450,833270,23838,0,1
1,NewOrder,1763695450,857160,23094,0,1
2,Payment,1763695450,880348,7973,0,1
1,NewOrder,1763695450,888371,37320,0,1
5,StockLevel,1763695450,925758,4570,0,1
3,OrderStatus,1763695450,930389,7143,0,1
2,Payment,1763695450,937581,9309,0,1
1,NewOrder,1763695450,946953,32166,0,1
4,Delivery,1763695450,979168,65728,0,1
1,NewOrder,1763695451,044948,23393,0,1
1,NewOrder,1763695451,068397,31112,0,1
1,NewOrder,1763695451,099559,31130,0,1
1,NewOrder,1763695451,130729,21663,0,1
1,NewOrder,1763695451,152443,23296,0,1
2,Payment,1763695451,175820,8551,0,1
2,Payment,1763695451,184428,10582,0,1
3,OrderStatus,1763695451,195059,4071,0,1
2,Payment,1763695451,199172,9764,0,1
1,NewOrder,1763695451,208982,15796,0,1
2,Payment,1763695451,224829,8524,0,1
2,Payment,1763695451,233398,8698,0,1
4,Delivery,1763695451,242148,61863,0,1
1,NewOrder,1763695451,304056,35901,0,1
2,Payment,1763695451,340011,8772,0,1
1,NewOrder,1763695451,348831,24259,0,1
4,Delivery,1763695451,373141,55892,0,1
1,NewOrder,1763695451,429082,25180,0,1
2,Payment,1763695451,454334,9444,0,1
4,Delivery,1763695451,463829,61084,0,1
2,Payment,1763695451,524964,8950,0,1
5,StockLevel,1763695451,533964,4194,0,1
2,Payment,1763695451,538209,9100,0,1
1,NewOrder,1763695451,547359,35883,0,1
1,NewOrder,1763695451,583311,35265,0,1
1,NewOrder,1763695451,618625,19080,0,1
5,StockLevel,1763695451,637758,4243,0,1
5,StockLevel,1763695451,642047,3174,0,1
2,Payment,1763695451,645325,9452,0,1
1,NewOrder,1763695451,654833,27623,0,1
1,NewOrder,1763695451,682504,18496,0,1
2,Payment,1763695451,701050,9860,0,1
2,Payment,1763695451,710961,11016,0,1
1,NewOrder,1763695451,722030,38665,0,1
2,Payment,1763695451,760755,10639,0,1
2,Payment,1763695451,771490,9862,0,1
1,NewOrder,1763695451,781415,27193,0,1
2,Payment,1763695451,808658,10044,0,1
1,NewOrder,1763695451,818749,20769,0,1
2,Payment,1763695451,839615,8773,0,1
2,Payment,1763695451,848438,8615,0,1
1,NewOrder,1763695451,857104,34097,0,1
2,Payment,1763695451,891259,10529,0,1
1,NewOrder,1763695451,901844,36137,0,1
2,Payment,1763695451,938063,8834,0,1
4,Delivery,1763695451,946939,69918,0,1
1,NewOrder,1763695452,016905,20957,0,1
3,OrderStatus,1763695452,037931,4869,0,1
1,NewOrder,1763695452,042846,35957,0,1
2,Payment,1763695452,078869,10184,0,1
4,Delivery,1763695452,089144,60734,0,1
1,NewOrder,1763695452,149931,30950,0,1
1,NewOrder,1763695452,180942,20812,0,1
2,Payment,1763695452,201815,8743,0,1
1,NewOrder,1763695452,210606,27858,0,1
1,NewOrder,1763695452,238514,29439,0,1
1,NewOrder,1763695452,268007,29706,0,1
2,Payment,1763695452,297765,7617,0,1
1,NewOrder,1763695452,305432,17073,0,1
1,NewOrder,1763695452,322557,19146,0,1
1,NewOrder,1763695452,341774,18429,0,1
2,Payment,1763695452,360265,9335,0,1
2,Payment,1763695452,369646,9503,0,1
2,Payment,1763695452,379238,9294,0,1
5,StockLevel,1763695452,388583,4529,0,1
1,NewOrder,1763695452,393180,29161,0,1
1,NewOrder,1763695452,422397,28812,0,1
1,NewOrder,1763695452,451266,22276,0,1
