Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,31,800,1101,227,49,807,467,977,734,734,1532,537,2240,577,3763,629,4234,925,4275,043,0,001
5,17,600,841,647,54,545,430,123,620,397,1073,517,1930,547,2314,189,3215,367,3215,367,0,001
10,43,400,502,728,117,044,353,252,449,897,618,585,802,207,891,686,1342,563,1511,369,0,002
15,56,400,442,204,70,404,290,891,381,134,528,720,795,020,953,604,1170,987,1260,700,0,002
20,33,600,866,576,155,933,350,836,451,334,1277,401,2370,085,2670,743,3061,976,3614,174,0,001
25,41,800,367,065,99,830,262,156,343,761,434,870,571,431,653,143,1076,047,1183,380,0,003
30,56,400,395,003,48,116,280,557,375,181,481,412,600,701,676,605,838,516,1547,826,0,003
35,55,000,413,384,89,358,304,937,391,398,496,797,619,729,761,783,947,258,1013,960,0,002
40,29,800,954,054,37,306,293,897,550,899,1634,865,2197,653,2651,313,3242,375,3349,400,0,001
45,43,400,363,948,96,732,222,836,293,520,389,531,533,244,607,902,1959,908,2183,179,0,003
50,50,400,431,522,83,926,267,167,353,354,465,099,655,543,1116,805,1854,723,2233,709,0,002
55,43,000,498,130,82,639,232,265,303,312,467,137,870,134,2400,780,2565,032,2585,679,0,002
60,65,600,347,843,73,325,238,070,327,083,437,324,537,898,585,464,751,436,1162,797,0,003
65,21,000,1031,561,106,816,396,823,627,739,1513,802,2499,749,2748,785,3408,560,3428,727,0,001
70,63,800,357,670,47,323,254,507,317,249,420,933,571,908,712,629,881,150,921,189,0,003
75,58,600,380,113,87,456,266,766,347,947,451,080,607,374,731,922,904,150,1034,004,0,003
80,17,800,1091,914,185,059,349,619,520,102,1442,373,2836,755,3116,268,3806,793,3806,793,0,001
85,59,400,431,753,69,428,246,478,334,151,431,393,665,919,1366,476,2251,720,2287,085,0,002
90,16,600,980,359,149,374,334,128,482,012,1720,747,2318,789,2446,230,2753,451,2753,451,0,001
95,60,600,371,504,99,468,270,905,354,451,446,110,569,843,682,927,906,793,988,667,0,003
100,64,600,371,934,75,043,258,776,330,346,418,931,530,642,803,003,1124,762,1379,202,0,003
105,57,800,468,771,59,468,244,344,340,068,470,067,1201,383,1505,854,1922,118,2153,772,0,002
110,36,400,507,071,35,092,213,259,307,994,571,653,1439,696,1783,499,2002,640,2200,489,0,002
115,42,000,449,506,99,102,286,301,400,391,495,186,769,494,1196,080,1389,698,1582,295,0,002
