Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,34,34,000,26691,217456,415219,364359,547277,587327,598227,600806,600806
1,23,23,000,164612,355459,480901,440318,549341,562831,567692,589432,589432
2,31,31,000,12872,211343,356550,326997,445455,490110,513652,537908,537908
3,29,29,000,39438,268957,310699,315531,355014,439039,475012,520207,520207
4,28,28,000,15131,274141,357306,329999,409329,434920,449115,510156,510156
5,32,32,000,11107,257909,343722,299866,381791,391710,404504,407945,407945
6,40,40,000,10560,217721,300865,265539,330138,381351,388761,479442,479442
7,41,41,000,12174,187829,267089,239365,325808,344986,361706,374897,374897
8,34,34,000,13407,206005,336645,292824,383613,521458,523678,558554,558554
9,42,42,000,10626,196901,243484,231642,282031,333997,390964,459585,459585
10,36,36,000,12961,261122,320558,308498,381657,429391,482681,495529,495529
11,35,35,000,12318,197218,292986,273673,376380,439716,453337,460974,460974
12,37,37,000,11278,211702,286771,293075,362528,528286,547732,565038,565038
13,28,28,000,16192,287940,342872,326628,399220,458894,464001,466146,466146
14,33,33,000,11908,274936,368673,314720,387725,409950,465557,475158,475158
15,31,31,000,11539,239781,297130,302808,360571,406624,467286,482022,482022
16,34,34,000,11458,181149,403698,316711,424855,520530,564548,617096,617096
17,33,33,000,11605,260103,333812,299089,353665,406659,443980,460226,460226
18,30,30,000,15660,273855,362948,332243,426990,458600,459439,485152,485152
19,36,36,000,11701,234062,297573,302916,396218,480691,568205,611000,611000
20,27,27,000,139442,215770,332018,329516,401016,504953,510610,519978,519978
21,39,39,000,11838,200873,302499,281368,363627,468624,488737,498348,498348
22,30,30,000,12738,217914,348095,304442,396853,429031,468342,494676,494676
23,37,37,000,16920,229689,283884,269839,359020,414471,432454,497170,497170
24,29,29,000,196793,270983,365754,338214,397368,436118,437864,439365,439365
25,35,35,000,12174,187280,329795,286899,358940,439068,511757,539278,539278
26,36,36,000,14029,212172,288727,273845,344108,389604,410840,575764,575764
27,30,30,000,14048,254508,407803,352820,435429,467726,488283,516612,516612
28,30,30,000,167729,247858,333700,332737,403413,519212,522823,558042,558042
29,33,33,000,12966,252016,316894,298111,352036,377843,419118,420156,420156
30,33,33,000,20884,235955,305053,295595,366774,383564,409631,412677,412677
31,33,33,000,11063,208915,321994,286168,398101,425708,441439,464965,464965
32,37,37,000,10685,236841,311392,277385,373176,403787,460674,517218,517218
33,36,36,000,12824,228172,305207,275860,357304,392599,411373,420773,420773
34,33,33,000,10768,277496,312754,316175,360962,427347,490562,503943,503943
35,35,35,000,12285,258173,322841,306477,359860,395571,470650,477499,477499
36,31,31,000,9916,225087,295489,291692,357223,420824,509657,568682,568682
37,33,33,000,14818,254770,329410,405024,366933,1156089,1267799,1271414,1271414
38,8,8,000,463683,1016103,1101117,965706,1225098,1254923,1254923,1254923,1254923
39,22,22,000,11493,241815,381683,372960,518197,593504,594286,603594,603594
40,40,40,000,13278,230521,299324,276253,363428,398183,433292,436660,436660
41,38,38,000,15283,196482,276716,271702,339610,415818,420551,450164,450164
42,39,39,000,12233,163900,261092,238489,338845,391538,437983,450343,450343
43,41,41,000,11723,175317,255007,238481,336298,367625,390018,464235,464235
44,39,39,000,12114,207869,313163,287217,387757,452971,463631,479167,479167
45,35,35,000,10417,194075,284382,248697,334470,385510,458463,461619,461619
46,34,34,000,15184,256654,339016,308146,381354,401154,454577,456252,456252
47,40,40,000,11051,175992,277041,248489,314169,445680,482054,488177,488177
48,35,35,000,11706,206179,322072,287120,373042,404282,448190,487888,487888
49,39,39,000,12375,202915,254165,258938,332580,414007,428751,440784,440784
50,29,29,000,13398,284714,348753,359357,434425,586049,616511,629444,629444
51,29,29,000,12294,255196,435661,382688,531604,641022,695610,745920,745920
52,31,31,000,13940,236320,303175,281902,344098,401168,434594,456007,456007
53,32,32,000,14084,196353,373162,298279,430929,489294,504609,511476,511476
54,36,36,000,13035,240388,325770,294222,381022,419480,456477,502591,502591
55,38,38,000,9788,163557,272267,248227,344307,411458,428079,451252,451252
56,28,28,000,11374,237751,352921,324753,431789,476350,508697,555684,555684
57,44,44,000,11131,208144,283975,259078,312166,337224,376171,512269,512269
58,29,29,000,28580,317056,342538,329799,395110,426856,429018,433056,433056
59,31,31,000,11270,28867,263682,211787,335229,359104,364970,374151,374151
