Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1763856027,306143,4242150,31,1
1,NewOrder,1763856027,410407,3828670,55,1
1,NewOrder,1763856027,410764,9558582,95,1
1,NewOrder,1763856027,479888,7038354,82,1
1,NewOrder,1763856027,480260,7201382,24,1
2,Payment,1763856027,482543,2621740,65,1
1,NewOrder,1763856027,482641,6105139,10,1
1,NewOrder,1763856027,602877,3802462,72,1
1,NewOrder,1763856027,811220,5168833,77,1
1,NewOrder,1763856027,905421,13007081,9,1
1,NewOrder,1763856027,961395,15501412,20,1
1,NewOrder,1763856028,138342,3211204,99,1
1,NewOrder,1763856028,657489,3142734,80,1
4,Delivery,1763856028,764392,6464397,78,1
2,Payment,1763856028,825771,2020481,92,1
1,NewOrder,1763856028,933139,2519788,12,1
2,Payment,1763856028,935338,2266819,33,1
2,Payment,1763856029,041872,2135448,97,1
2,Payment,1763856029,043348,2158289,2,1
5,StockLevel,1763856029,055134,2178194,42,1
2,Payment,1763856029,113980,2108223,13,1
2,Payment,1763856029,222637,2105509,96,1
2,Payment,1763856029,396433,1932199,87,1
4,Delivery,1763856029,396471,6242006,14,1
2,Payment,1763856029,397418,1930676,94,1
1,NewOrder,1763856029,397458,6009865,69,1
1,NewOrder,1763856029,397994,6038614,61,1
1,NewOrder,1763856029,398020,15244603,89,1
1,NewOrder,1763856029,398206,8752255,43,1
2,Payment,1763856029,398503,1929681,19,1
1,NewOrder,1763856029,965642,3596439,34,1
2,Payment,1763856030,104346,1224583,65,1
2,Payment,1763856030,104360,1223742,66,1
1,NewOrder,1763856030,104375,30642910,75,1
2,Payment,1763856030,404872,923216,52,1
2,Payment,1763856030,846331,481744,25,1
2,Payment,1763856030,848119,479975,93,1
1,NewOrder,1763856030,848265,692212,92,1
1,NewOrder,1763856030,848324,1894803,79,1
2,Payment,1763856031,177400,151299,97,1
1,NewOrder,1763856031,201708,9991099,2,1
2,Payment,1763856031,202255,126405,33,1
1,NewOrder,1763856031,222261,3231178,13,1
1,NewOrder,1763856031,233389,1554098,42,1
2,Payment,1763856031,239254,127244,55,1
1,NewOrder,1763856031,243014,1183650,51,1
1,NewOrder,1763856031,276177,14673398,5,1
2,Payment,1763856031,328137,84671,52,1
2,Payment,1763856031,328138,170087,25,1
1,NewOrder,1763856031,328147,1353793,94,1
2,Payment,1763856031,328149,80618,93,1
1,NewOrder,1763856031,328157,7823896,21,1
2,Payment,1763856031,328181,564760,96,1
1,NewOrder,1763856031,328184,3411799,66,1
3,OrderStatus,1763856031,328451,215506,19,1
2,Payment,1763856031,328656,136783,87,1
2,Payment,1763856031,328684,564389,33,1
1,NewOrder,1763856031,328731,3341057,97,1
1,NewOrder,1763856031,328963,3856782,65,1
2,Payment,1763856031,349613,190804,99,1
2,Payment,1763856031,366551,148915,55,1
1,NewOrder,1763856031,405408,8987263,72,1
2,Payment,1763856031,408872,66293,93,1
1,NewOrder,1763856031,412894,7140067,52,1
1,NewOrder,1763856031,452998,3228537,12,1
1,NewOrder,1763856031,462783,3206973,35,1
1,NewOrder,1763856031,465535,3771156,87,1
2,Payment,1763856031,475227,419190,93,1
1,NewOrder,1763856031,498292,11434783,25,1
1,NewOrder,1763856031,507587,3162104,37,1
4,Delivery,1763856031,515527,4832536,55,1
3,OrderStatus,1763856031,540478,467093,99,1
1,NewOrder,1763856031,540511,2640268,92,1
1,NewOrder,1763856031,540647,1938698,83,1
5,StockLevel,1763856031,544011,860361,19,1
1,NewOrder,1763856031,548359,2901455,31,1
1,NewOrder,1763856031,548409,877973,49,1
2,Payment,1763856031,799681,230801,98,1
2,Payment,1763856031,800266,244740,80,1
2,Payment,1763856031,800341,301702,86,1
1,NewOrder,1763856031,892998,4515074,96,1
2,Payment,1763856031,893123,108969,33,1
1,NewOrder,1763856031,894478,1511548,93,1
2,Payment,1763856031,984030,110086,76,1
2,Payment,1763856032,000290,149658,85,1
1,NewOrder,1763856032,002156,687540,33,1
1,NewOrder,1763856032,007639,3370865,99,1
2,Payment,1763856032,030710,155680,98,1
2,Payment,1763856032,045008,132557,91,1
2,Payment,1763856032,045061,141329,80,1
2,Payment,1763856032,094196,129712,76,1
1,NewOrder,1763856032,102144,1303921,86,1
1,NewOrder,1763856032,139460,743785,1,1
4,Delivery,1763856032,150040,4317640,85,1
1,NewOrder,1763856032,150069,3257788,64,1
1,NewOrder,1763856032,177631,1847618,91,1
1,NewOrder,1763856032,186457,7055502,98,1
1,NewOrder,1763856032,186457,4553862,80,1
2,Payment,1763856032,223977,120183,76,1
2,Payment,1763856032,231261,458748,30,1
1,NewOrder,1763856032,242969,1924812,63,1
1,NewOrder,1763856032,266621,5783256,39,1
4,Delivery,1763856032,318482,4309327,41,1
1,NewOrder,1763856032,344234,10478088,76,1
1,NewOrder,1763856032,352446,621922,22,1
2,Payment,1763856032,404448,831692,19,1
2,Payment,1763856032,421406,299926,32,1
3,OrderStatus,1763856032,426715,308966,51,1
1,NewOrder,1763856032,426759,1584710,49,1
2,Payment,1763856032,639375,276543,15,1
2,Payment,1763856032,682008,723911,94,1
2,Payment,1763856032,689774,112830,33,1
1,NewOrder,1763856032,690040,10799149,30,1
3,OrderStatus,1763856032,721402,457177,32,1
1,NewOrder,1763856032,735746,8328101,51,1
