Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
73,2,2,000,5127805,5127805,6011131,5569468,6011131,6011131,6011131,6011131,6011131
74,10,10,000,3015590,4390576,7440942,7371512,10334127,14697420,14697420,14697420,14697420
75,8,8,000,2845600,4342827,6631092,6520269,9427208,9625240,9625240,9625240,9625240
76,7,7,000,2031016,2048026,2546296,4176043,7262166,9653310,9653310,9653310,9653310
77,4,4,000,1558675,1825010,7668963,4693470,7721232,7721232,7721232,7721232,7721232
78,25,25,000,1907176,5800860,6126387,5893730,6567086,7078547,7507341,7939844,7939844
79,21,21,000,1623025,5440895,5743537,5652858,6390002,7312911,7698897,8158927,8158927
80,12,12,000,3926115,4216785,4453439,4763692,4781250,4781823,8938968,8938968,8938968
81,4,4,000,2362511,3406426,4385488,4030316,5966842,5966842,5966842,5966842,5966842
82,9,9,000,1843079,2240143,2798364,3167451,3630448,5349936,5349936,5349936,5349936
83,6,6,000,760400,847005,1990906,2013809,2055459,5080915,5080915,5080915,5080915
84,44,44,000,196230,354943,502400,984374,1543079,2391983,2579842,4503202,4503202
85,92,92,000,115976,945688,1679127,1624822,2027648,2446210,2974364,7580750,7580750
86,34,34,000,92949,651779,993322,1191413,1345618,1483294,4002277,6520080,6520080
87,121,121,000,105177,447863,665467,1165012,1117880,1590448,5066775,6927952,9282363
88,93,93,000,114438,367804,506149,1086957,791331,2305073,6405581,7031210,7031210
89,104,104,000,121503,684838,1156712,1950893,2920182,4449091,5589999,6540327,6947201
90,40,40,000,964200,1921785,2373055,2669679,3160899,4841485,5961004,6264565,6264565
91,7,7,000,751039,1327282,2565836,2286909,3075860,3785505,3785505,3785505,3785505
92,50,50,000,339225,1243568,1589323,1665298,2025513,2276467,2795752,5242934,5242934
