Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
72,13,13,000,1309066,2561955,3383245,3273911,3845406,4704689,5159564,5159564,5159564
73,6,6,000,1864306,2170971,2680639,3212656,3502752,6542484,6542484,6542484,6542484
74,11,11,000,898425,1381528,1760110,2343950,3911247,4353849,4786561,4786561,4786561
75,37,37,000,260235,716647,1220022,1413289,1643343,2387985,4918631,5376998,5376998
76,77,77,000,291439,492620,895416,1154360,1772796,2164083,2393498,5348735,5348735
77,76,76,000,332912,535695,921240,1272359,1792241,2677222,2794563,6076397,6076397
78,91,91,000,203260,538284,803267,1182749,1519691,2379642,2647651,6105888,6105888
79,79,79,000,222800,784057,1487985,1650106,1941588,2842772,3442745,10016141,10016141
80,40,40,000,315999,969587,1333618,1859632,2028444,3049753,9614573,10882605,10882605
81,101,101,000,177686,531369,883175,1283326,1629375,2390771,2592858,9665852,10415689
82,68,68,000,277420,638670,1070752,1341734,1582184,2140536,2351186,9709153,9709153
83,83,83,000,221750,535937,961301,1830124,1753378,6161610,7699245,9794270,9794270
84,82,82,000,227730,868032,2125922,3101085,5326267,6413869,7275281,9660553,9660553
85,24,24,000,822958,2458208,4071787,3656478,4853380,6619951,6738706,7268484,7268484
86,24,24,000,272416,2303455,3842207,3237083,4201818,4510501,4819276,4913198,4913198
87,11,11,000,2992772,3241371,3652873,3877651,3769139,3852438,7676045,7676045,7676045
88,20,20,000,1157194,2081541,2456521,2533215,2921506,4235177,4670854,4670854,4670854
89,19,19,000,521254,713076,952672,1200691,1446660,2629086,3488563,3488563,3488563
90,81,81,000,202269,498506,1150190,1240943,1645296,2174735,2910412,4881841,4881841
91,63,63,000,299717,563799,995953,1262328,1532486,2545694,3445963,4696490,4696490
92,96,96,000,196238,505086,834712,1042176,1455351,1893254,2207408,4738071,4738071
93,77,77,000,130946,561167,823245,1137247,1149791,2351006,4359672,5255875,5255875
94,117,117,000,165344,375259,673087,880427,1253206,1728024,2367233,3577145,4604526
95,97,97,000,87049,472551,1013748,1256916,1651999,2127909,3120775,7459279,7459279
96,88,88,000,211117,464546,646971,1071338,1416937,2095254,2605042,7156432,7156432
97,84,84,000,147584,537872,1116359,1282516,1460417,1823177,2212036,6948582,6948582
98,89,89,000,207586,490943,875544,1427759,1428179,3503338,6094988,7238867,7238867
99,93,93,000,149287,547001,1890831,2365510,3745084,4790835,6314231,11609662,11609662
100,27,27,000,1075196,2248387,3092409,3284053,3667431,6144685,6781291,9059636,9059636
101,16,16,000,853179,1752336,2315470,2129964,2688952,3065016,3072981,3072981,3072981
102,33,33,000,470359,863099,1534004,1424413,1835341,2285450,2418625,3048821,3048821
103,60,60,000,200781,515805,744718,1252622,1198694,1624205,7409137,8404038,8404038
104,103,103,000,119502,388724,675208,1856976,1969123,6757752,7520762,8592390,8959217
105,73,73,000,193144,878571,2499406,3324301,5403475,6358659,8571547,9462012,9462012
106,26,26,000,450266,1215856,4216694,3357784,4874312,5500243,5642144,8092367,8092367
107,25,25,000,332690,3061987,3808029,3849070,4268161,6177962,7273220,7631638,7631638
108,4,4,000,2191665,3367929,3705036,3995535,6717512,6717512,6717512,6717512,6717512
109,12,12,000,1161218,1677410,2214809,2339261,2657513,3334461,4634687,4634687,4634687
110,32,32,000,447201,925389,1487855,1519515,1905678,2262722,3539310,5034629,5034629
111,80,80,000,208282,542784,929172,1088316,1389922,2172864,3127303,4425603,4425603
112,88,88,000,153763,376600,679918,975358,1199284,1592076,3746597,4548448,4548448
113,98,98,000,148262,515740,875045,1036478,1332936,1791791,2274007,4583639,4583639
114,83,83,000,160869,542149,943820,1250389,1525432,1992014,4964495,5300309,5300309
115,92,92,000,258443,582137,1043323,1172241,1441785,1838327,2002826,5260412,5260412
116,91,91,000,189676,386576,697221,1262764,1853348,2794133,4458728,5062500,5062500
117,99,99,000,240489,530420,1141700,1504351,2014195,2965715,3346399,6895158,6895158
118,31,31,000,244690,628622,1297094,1647403,2215609,2688653,4831871,5452473,5452473
119,75,75,000,167641,444785,1134158,1610972,1476738,4646357,7398305,7989691,7989691
120,97,97,000,223496,358760,531416,1537961,1254138,3980206,9272048,9715181,9715181
121,89,89,000,142251,533892,1024226,2489271,2935986,8603948,9155516,10070618,10070618
122,50,50,000,229186,510955,1843740,2887668,5040398,7796409,7919981,8889585,8889585
123,27,27,000,752123,2882182,4298373,4403090,5422935,8610235,8929555,9676809,9676809
124,21,21,000,899798,2128608,3035827,3237427,4840397,5782417,6024539,6026424,6026424
125,11,11,000,1159301,1480865,2689781,2671802,3056924,4327283,6429942,6429942,6429942
126,18,18,000,775570,1336552,2061128,2201012,2892049,3414528,4525466,4525466,4525466
127,26,26,000,292125,2152811,2573176,2765942,2943169,4260861,6296902,6493240,6493240
128,28,28,000,860544,1395678,1769926,2143572,2158391,4408424,5672048,6573865,6573865
129,46,46,000,225446,437387,906361,1124128,1386729,1901531,2928093,4684550,4684550
130,112,112,000,162159,419822,835854,1053455,1471059,1907909,2658236,4415299,5654696
131,81,81,000,183006,533935,971326,1249977,1492329,2340346,3373142,4874874,4874874
132,81,81,000,198960,459731,1034507,1153585,1470744,1848671,2962653,5117640,5117640
133,79,79,000,163685,446659,665134,960297,1181299,1608315,3805833,4037987,4037987
134,118,118,000,148336,369239,687609,1088207,1657125,2598854,3691184,4087880,4245308
135,78,78,000,124989,473693,851189,1112874,1413966,2114716,2928711,4887617,4887617
136,72,72,000,273503,490833,876007,1082260,1494686,1784273,2106102,4590926,4590926
137,109,109,000,180974,441631,858473,1022904,1212353,2022098,2450664,4279230,4333680
138,104,104,000,161502,477161,877862,1115745,1569025,2129534,2275290,4130445,5100200
139,75,75,000,296989,523272,695087,1030557,1362175,1837305,2537259,4216916,4216916
140,105,105,000,171467,479317,866995,1047158,1329118,1957609,2677578,3929101,4159506
141,94,94,000,167986,408240,839808,1130685,1473850,2422325,3473534,5664307,5664307
142,90,90,000,200243,455570,935638,1047630,1355531,1978329,2181324,5138255,5138255
143,85,85,000,159824,488425,823302,1111567,1291618,1919206,4144873,5370639,5370639
144,120,120,000,76640,336589,573965,900776,1207761,1711629,2740247,4605010,4844993
145,105,105,000,171928,483272,811997,1090272,1382990,1930112,2743021,4367568,5988947
146,81,81,000,226900,516000,904534,1038461,1231133,1707533,2326454,6243850,6243850
147,109,109,000,200556,447089,814247,1170408,1336976,2106355,5116430,5570457,7101747
148,79,79,000,177038,396381,768600,1117922,1236323,2891063,3676213,6260377,6260377
149,120,120,000,137293,362063,2074900,2262091,2986400,4090628,8325363,9609097,9696654
150,16,16,000,1006246,1831254,2129211,2398565,2608112,3536228,7475227,7475227,7475227
151,24,24,000,181195,366790,504877,1023659,961152,3699214,3758334,5413851,5413851
152,107,107,000,203439,420303,1385905,2149234,3810538,4994158,5549546,7121142,7129261
153,28,28,000,318120,3112564,4190461,3835701,4834457,5180818,5475939,6385630,6385630
154,15,15,000,883263,2326423,3321448,3285079,3910284,5116592,6073189,6073189,6073189
155,20,20,000,1659982,2041231,2541633,2726763,3559889,4055126,4487992,4487992,4487992
156,20,20,000,478919,940555,1256416,1423418,1780797,2897065,3123279,3123279,3123279
157,86,86,000,174441,460820,735715,1037122,1446466,2123649,2194167,4806534,4806534
158,78,78,000,280020,522250,979421,1289212,1587623,2239092,4810448,5399260,5399260
159,82,82,000,128219,479175,750039,1031752,1304202,1779224,2789077,5137133,5137133
160,114,114,000,170555,381758,709014,1185801,1521544,2527199,4675972,4999284,7101709
161,70,70,000,221396,770080,1230118,1416505,1635750,3042394,3475788,4843610,4843610
162,80,80,000,165111,544150,983034,1139672,1526302,1930641,3331027,4327749,4327749
