Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1763847377,805438,5076415,66,1
2,Payment,1763847377,805600,482245,6,1
1,NewOrder,1763847377,806279,3649789,48,1
1,NewOrder,1763847377,806926,4960275,14,1
1,NewOrder,1763847377,807146,4081246,71,1
3,OrderStatus,1763847377,807439,350305,15,1
1,NewOrder,1763847377,807452,6511526,23,1
2,Payment,1763847377,808438,543289,29,1
2,Payment,1763847377,815963,240006,98,1
3,OrderStatus,1763847377,821284,501342,82,1
2,Payment,1763847377,823855,367853,90,1
1,NewOrder,1763847377,823861,4311234,94,1
2,Payment,1763847377,825710,709890,69,1
2,Payment,1763847377,831621,681990,43,1
1,NewOrder,1763847377,833193,5145038,73,1
2,Payment,1763847377,844332,329245,22,1
2,Payment,1763847377,845099,523371,67,1
1,NewOrder,1763847377,845331,6060576,24,1
2,Payment,1763847377,846972,664609,21,1
1,NewOrder,1763847377,846989,5035100,33,1
4,Delivery,1763847377,861707,7368390,61,1
1,NewOrder,1763847377,873861,19679358,4,1
1,NewOrder,1763847377,899712,4179475,10,1
1,NewOrder,1763847377,925013,3291648,30,1
2,Payment,1763847377,933567,435525,77,1
2,Payment,1763847377,934388,784394,2,1
2,Payment,1763847377,944156,669012,54,1
2,Payment,1763847377,969565,475172,18,1
1,NewOrder,1763847377,970606,6729582,49,1
2,Payment,1763847377,986457,389677,95,1
4,Delivery,1763847378,027822,6957887,40,1
1,NewOrder,1763847378,028896,4747332,72,1
2,Payment,1763847378,029106,452390,3,1
1,NewOrder,1763847378,046385,4133521,53,1
1,NewOrder,1763847378,049308,4754429,84,1
1,NewOrder,1763847378,056099,4594299,98,1
2,Payment,1763847378,114722,614103,58,1
5,StockLevel,1763847378,157875,3822027,15,1
2,Payment,1763847378,173629,340097,22,1
1,NewOrder,1763847378,191323,4185949,16,1
1,NewOrder,1763847378,191749,6529089,90,1
4,Delivery,1763847378,231129,7011237,17,1
1,NewOrder,1763847378,250837,3887037,74,1
1,NewOrder,1763847378,258288,7810692,39,1
1,NewOrder,1763847378,282757,4555009,11,1
2,Payment,1763847378,287701,416714,83,1
1,NewOrder,1763847378,287880,7090097,6,1
5,StockLevel,1763847378,288225,3416219,8,1
2,Payment,1763847378,289310,729811,99,1
1,NewOrder,1763847378,322680,3631476,82,1
5,StockLevel,1763847378,324344,4128480,38,1
2,Payment,1763847378,351799,654464,29,1
1,NewOrder,1763847378,367963,5758617,79,1
1,NewOrder,1763847378,369131,4379162,77,1
2,Payment,1763847378,369149,502524,67,1
2,Payment,1763847378,369840,490954,46,1
1,NewOrder,1763847378,376208,7415740,95,1
5,StockLevel,1763847378,384795,4103297,78,1
1,NewOrder,1763847378,444787,3754582,18,1
1,NewOrder,1763847378,448339,5579415,92,1
2,Payment,1763847378,456817,551639,5,1
1,NewOrder,1763847378,481540,5098639,3,1
1,NewOrder,1763847378,511629,5118861,21,1
2,Payment,1763847378,513654,358074,43,1
1,NewOrder,1763847378,513776,6327105,22,1
1,NewOrder,1763847378,535689,4393625,69,1
1,NewOrder,1763847378,613213,3292724,54,1
1,NewOrder,1763847378,704468,4252599,83,1
2,Payment,1763847378,718831,2408632,2,1
1,NewOrder,1763847378,728892,5344100,58,1
1,NewOrder,1763847378,750682,4157972,60,1
1,NewOrder,1763847378,794467,4442127,7,1
1,NewOrder,1763847378,860850,5728504,46,1
2,Payment,1763847378,871715,2358063,67,1
1,NewOrder,1763847378,871775,6418703,43,1
1,NewOrder,1763847379,006305,5807831,29,1
2,Payment,1763847379,008497,2331660,5,1
2,Payment,1763847379,010539,2317133,65,1
2,Payment,1763847379,019180,2256649,99,1
5,StockLevel,1763847380,205524,2486034,70,1
2,Payment,1763847381,127527,631540,2,1
1,NewOrder,1763847381,212687,2803890,96,1
1,NewOrder,1763847381,216713,1485094,30,1
2,Payment,1763847381,229828,803150,67,1
3,OrderStatus,1763847381,275920,183487,55,1
2,Payment,1763847381,275920,781528,99,1
3,OrderStatus,1763847381,297186,127662,91,1
1,NewOrder,1763847381,300652,4998865,75,1
2,Payment,1763847381,300668,612336,26,1
2,Payment,1763847381,321096,690648,59,1
2,Payment,1763847381,327730,706132,65,1
4,Delivery,1763847381,340207,5157417,5,1
1,NewOrder,1763847381,355707,2334468,28,1
1,NewOrder,1763847381,357938,731673,62,1
2,Payment,1763847381,424901,635824,91,1
1,NewOrder,1763847381,446174,11979564,68,1
2,Payment,1763847381,456124,676777,48,1
1,NewOrder,1763847381,459461,1412086,55,1
2,Payment,1763847381,474801,619046,20,1
2,Payment,1763847381,474920,634851,45,1
1,NewOrder,1763847381,619823,3172156,93,1
2,Payment,1763847381,658939,450184,47,1
2,Payment,1763847381,704490,385112,8,1
1,NewOrder,1763847381,759378,2568502,2,1
2,Payment,1763847381,824735,542202,35,1
3,OrderStatus,1763847381,841345,258165,97,1
4,Delivery,1763847381,888473,5013325,71,1
4,Delivery,1763847381,905990,4847876,54,1
1,NewOrder,1763847381,913061,9539244,26,1
1,NewOrder,1763847381,913377,753780,0,1
2,Payment,1763847381,913536,352547,1,1
2,Payment,1763847381,913762,360144,81,1
5,StockLevel,1763847381,954215,1518098,82,1
1,NewOrder,1763847381,970739,2159983,52,1
1,NewOrder,1763847381,979948,2047827,15,1
1,NewOrder,1763847381,986494,4237222,44,1
1,NewOrder,1763847382,011806,4213239,59,1
1,NewOrder,1763847382,012188,1379214,51,1
1,NewOrder,1763847382,012615,2161872,9,1
2,Payment,1763847382,033399,422430,67,1
4,Delivery,1763847382,033907,6389302,65,1
2,Payment,1763847382,055713,847691,50,1
1,NewOrder,1763847382,057507,2213559,99,1
2,Payment,1763847382,060778,520405,91,1
2,Payment,1763847382,079239,321639,10,1
1,NewOrder,1763847382,089650,2927573,8,1
1,NewOrder,1763847382,089652,2745066,62,1
2,Payment,1763847382,093896,362020,20,1
2,Payment,1763847382,099555,356683,97,1
1,NewOrder,1763847382,109178,3942888,47,1
1,NewOrder,1763847382,109804,1450347,45,1
2,Payment,1763847382,132949,273933,48,1
2,Payment,1763847382,135161,773773,94,1
1,NewOrder,1763847382,137994,4179880,74,1
